Description,Category
Monthly School supplies online,Education
Bought College fees (shared),Education
Expense: Doctor consultation - urgent,Health
Bought Theater - urgent,Entertainment
Monthly Coursera subscription online,Education
Bought Internet bill,Bills
Bakery (shared),Food
Monthly Concert ticket - urgent,Entertainment
Weekly Notebooks,Education
Bi-weekly Vegetables online,Food
Expense: Water bill locally,Bills
Paid for Movie ticket,Entertainment
Bi-weekly Plumbing repair locally,Others
Car maintenance online,Transport
Monthly Vitamins locally,Health
Paid for Furniture (shared),Shopping
Monthly Toll fee locally,Transport
Monthly Train fare locally,Transport
Expense: Library fee locally,Education
Bought Furniture (shared),Shopping
Bought Health insurance premium,Health
Weekly Library fee online,Education
Paid for Theater (shared),Entertainment
Paid for Bowling locally,Entertainment
Paid for Amusement park (shared),Entertainment
Weekly Internet bill,Bills
Monthly Amusement park locally,Entertainment
Monthly Tuition,Education
Bi-weekly Uber ride online,Transport
Theater,Entertainment
Bought Udemy course (shared),Education
Paid for Health insurance premium,Health
Weekly Electricity bill (shared),Bills
Weekly Vitamins,Health
Weekly Clothing - urgent,Shopping
Paid for Hospital bill online,Health
Bought Pizza - urgent,Food
Paid for Car maintenance locally,Transport
Bi-weekly Bus ticket online,Transport
Paid for Amusement park,Entertainment
Expense: Laundry (shared),Others
Weekly Pharmacy (shared),Health
Monthly Concert ticket,Entertainment
Theater online,Entertainment
Weekly Health insurance premium,Health
Paid for Restaurant bill (shared),Food
Paid for Theater locally,Entertainment
Parking ticket locally,Transport
Textbooks - urgent,Education
Bought Pharmacy locally,Health
Monthly Online course,Education
Weekly Board game locally,Entertainment
Bi-weekly Online course locally,Education
Bi-weekly Gym membership - urgent,Health
Bought Breakfast cafe locally,Food
Bi-weekly Internet bill locally,Bills
Paid for Bowling,Entertainment
Expense: Concert ticket,Entertainment
Bought Subway ticket online,Transport
Bought College fees online,Education
Expense: Bus ticket - urgent,Transport
Library fee,Education
Board game - urgent,Entertainment
Taxi,Transport
Bowling online,Entertainment
Paid for Hospital bill - urgent,Health
Expense: Gas locally,Transport
Monthly Fruits locally,Food
Expense: Spotify (shared),Entertainment
Monthly Pharmacy (shared),Health
Paid for Electronics,Shopping
Monthly Subway ticket locally,Transport
Weekly Restaurant bill locally,Food
Monthly Electronics - urgent,Shopping
Expense: Theater - urgent,Entertainment
Weekly Online course online,Education
Burger (shared),Food
Weekly Bus ticket online,Transport
Bought Haircut (shared),Others
Paid for Sushi (shared),Food
Expense: Groceries - urgent,Food
Expense: Library fee - urgent,Education
Weekly Dentist online,Health
Monthly Taxi (shared),Transport
Notebooks online,Education
Expense: Online course (shared),Education
Bi-weekly Medicines (shared),Health
Weekly Bowling (shared),Entertainment
Textbooks locally,Education
Monthly Plumbing repair - urgent,Others
Bi-weekly Medical tests locally,Health
Expense: Board game - urgent,Entertainment
Gift for friend,Others
Expense: Medical tests online,Health
Expense: Stationery - urgent,Education
Weekly Ferry ticket - urgent,Transport
Weekly Steam purchase (shared),Entertainment
Bought Train fare - urgent,Transport
Uber ride - urgent,Transport
Expense: Veterinary bill locally,Others
Bought Steam purchase - urgent,Entertainment
Bought Coffee online,Food
Monthly Taxi locally,Transport
Weekly Gift for friend (shared),Others
Monthly Starbucks (shared),Food
Expense: Gas,Transport
Expense: Amusement park,Entertainment
Bi-weekly Bandages and first aid locally,Health
Weekly Concert ticket (shared),Entertainment
Bought Ice cream,Food
Monthly Gift for friend,Others
Expense: Notebooks locally,Education
Bi-weekly Hospital bill (shared),Health
Bought Museum entry - urgent,Entertainment
Expense: Electronics (shared),Shopping
Expense: Veterinary bill,Others
Monthly Clothing locally,Shopping
Weekly Donation locally,Others
Monthly Car maintenance (shared),Transport
Bought Notebooks (shared),Education
Weekly Dinner meal - urgent,Food
Bi-weekly Theater,Entertainment
Expense: Laundry,Others
Bought Dentist (shared),Health
Bi-weekly Restaurant bill locally,Food
Weekly Coursera subscription locally,Education
Bi-weekly Flight booking,Travel
Expense: Vitamins online,Health
Steam purchase (shared),Entertainment
Monthly KFC,Food
Weekly Bandages and first aid - urgent,Health
Monthly Shopping online,Shopping
Weekly Medicines (shared),Health
Bi-weekly Ferry ticket - urgent,Transport
Bi-weekly Haircut locally,Others
Bi-weekly Pizza locally,Food
Expense: Plumbing repair online,Others
Fruits online,Food
Bought Medical tests - urgent,Health
Bought Furniture,Shopping
Monthly Bandages and first aid online,Health
Bought Plumbing repair,Others
Paid for Spotify (shared),Entertainment
Bi-weekly Electronics,Shopping
Monthly Coffee online,Food
Weekly Board game,Entertainment
Bought Amusement park online,Entertainment
Bought Dentist online,Health
Weekly Haircut (shared),Others
Bought Toll fee (shared),Transport
Bought Dinner meal (shared),Food
Weekly Amazon Prime,Entertainment
Expense: Bowling online,Entertainment
Bought Hospital bill locally,Health
Expense: Textbooks - urgent,Education
Coursera subscription (shared),Education
College fees - urgent,Education
Bi-weekly Library fee (shared),Education
Bi-weekly Movie ticket,Entertainment
Coffee online,Food
Paid for Coursera subscription (shared),Education
Haircut locally,Others
Monthly Gas - urgent,Transport
Paid for Breakfast cafe locally,Food
Monthly Gift for friend - urgent,Others
Monthly Bandages and first aid (shared),Health
Paid for Supermarket (shared),Food
Expense: Notebooks - urgent,Education
Bi-weekly Petrol locally,Transport
Weekly Groceries,Food
Monthly Groceries,Food
Bi-weekly Car maintenance online,Transport
Weekly Amazon Prime,Entertainment
Bi-weekly Bike repair - urgent,Transport
Bi-weekly Notebooks - urgent,Education
Bi-weekly College fees,Education
Bought Video game - urgent,Entertainment
Expense: Theater,Entertainment
Paid for Uber ride locally,Transport
Monthly Donation (shared),Others
Bi-weekly Vitamins locally,Health
Monthly Supermarket,Food
Paid for Electronics locally,Shopping
Video game,Entertainment
Bought Dry cleaning online,Others
Weekly Car maintenance (shared),Transport
Weekly Notebooks - urgent,Education
Hospital bill online,Health
Snacks (shared),Food
Train fare (shared),Transport
Paid for Electricity bill,Bills
Bought Vitamins (shared),Health
Bought Shoes - urgent,Shopping
College fees,Education
Weekly Train fare online,Transport
Expense: Coursera subscription locally,Education
Expense: Haircut,Others
Pizza (shared),Food
Paid for Gas online,Transport
Bi-weekly Eye checkup (shared),Health
Monthly Netflix subscription - urgent,Entertainment
Bought Car maintenance locally,Transport
Paid for Fruits,Food
Paid for Water bill,Bills
Monthly Medical tests locally,Health
Expense: Taxi,Transport
Expense: Health insurance premium locally,Health
Expense: Gym membership,Health
Haircut online,Others
Paid for Pharmacy locally,Health
Monthly Bowling (shared),Entertainment
Paid for Steam purchase locally,Entertainment
Weekly Concert ticket online,Entertainment
Water bill locally,Bills
Notebooks (shared),Education
Medicines locally,Health
Paid for Stationery online,Education
Paid for Parking ticket locally,Transport
Expense: Tacos,Food
Bought School supplies,Education
Monthly Health insurance premium locally,Health
Paid for Starbucks,Food
Expense: Library fee - urgent,Education
Fruits - urgent,Food
Bi-weekly Textbooks locally,Education
Paid for Notebooks locally,Education
Bi-weekly Dinner meal - urgent,Food
Paid for Spotify,Entertainment
Bi-weekly Taxi locally,Transport
Dinner meal - urgent,Food
Weekly Eye checkup locally,Health
Bi-weekly Donation online,Others
Bought Sushi - urgent,Food
Bought Video game (shared),Entertainment
Weekly Dentist (shared),Health
Expense: Lunch - urgent,Food
Paid for Steam purchase,Entertainment
Bought Burger - urgent,Food
Weekly Coursera subscription locally,Education
Monthly Hospital bill,Health
Bought Medical tests locally,Health
Bi-weekly Supermarket locally,Food
Bought Petrol online,Transport
Monthly Eye checkup,Health
Bought Movie ticket,Entertainment
Bought Steam purchase,Entertainment
Weekly Dinner meal - urgent,Food
Bi-weekly Textbooks - urgent,Education
Bought Spotify (shared),Entertainment
Weekly Charity,Others
Monthly Train fare online,Transport
Bi-weekly Snacks online,Food
Bought Shoes (shared),Shopping
Bought Vitamins locally,Health
Paid for Gas online,Transport
Bi-weekly Movie ticket locally,Entertainment
Paid for Amazon Prime locally,Entertainment
Paid for Water bill locally,Bills
Expense: Burger locally,Food
Bi-weekly Notebooks (shared),Education
Paid for Movie ticket (shared),Entertainment
Expense: Flight booking locally,Travel
Concert ticket locally,Entertainment
Bi-weekly Clothing,Shopping
Monthly Tuition - urgent,Education
Weekly Hospital bill locally,Health
Weekly Bike repair - urgent,Transport
Paid for Vitamins (shared),Health
Uber ride online,Transport
Expense: Electronics online,Shopping
Dry cleaning - urgent,Others
Expense: Toll fee - urgent,Transport
Bi-weekly Netflix subscription - urgent,Entertainment
Weekly Amazon Prime locally,Entertainment
Bike repair,Transport
Expense: Fruits locally,Food
Expense: Hospital bill (shared),Health
Bi-weekly Plumbing repair online,Others
Weekly Water bill - urgent,Bills
Paid for Theater locally,Entertainment
Groceries - urgent,Food
Bought Car maintenance online,Transport
Expense: Laundry locally,Others
Clothing - urgent,Shopping
Monthly Tuition online,Education
Snacks - urgent,Food
Vitamins,Health
Bought Movie ticket - urgent,Entertainment
College fees online,Education
Paid for Petrol - urgent,Transport
Paid for KFC,Food
Vitamins (shared),Health
Monthly Vitamins,Health
Pharmacy (shared),Health
Bought Furniture - urgent,Shopping
Weekly Furniture locally,Shopping
Bi-weekly Shopping,Shopping
Paid for Dentist (shared),Health
Hotel stay downtown,Travel
Booked flight to Mumbai,Travel
Airport transfer,Travel
Hotel booking confirm,Travel
Booked train tickets for trip,Travel
Cab to airport,Travel
Travel insurance,Travel
Holiday package booked,Travel
Airbnb stay,Travel
Resort booking,Travel
Visa fees,Travel
International flight,Travel
Weekend getaway hotel,Travel
Bus pass for trip,Travel
Sightseeing tickets,Travel
Travel meal abroad,Travel
Luggage charges,Travel
Return flight ticket,Travel
Electricity bill paid,Bills
Gas bill this month,Bills
Phone bill payment,Bills
Broadband internet bill,Bills
Water utility bill,Bills
Mobile recharge,Bills
DTH recharge,Bills
Paid gas bill online,Bills
Netflix monthly bill,Bills
Spotify premium bill,Bills
Amazon Prime bill,Bills
Credit card bill payment,Bills
Rent payment,Bills
Maintenance charges,Bills
Society maintenance fee,Bills
Insurance premium paid,Bills
Car insurance bill,Bills
Health insurance bill,Bills
Annual insurance renewal,Bills
EMI payment this month,Bills
Loan EMI,Bills
Home loan EMI,Bills
Bought tshirt online,Shopping
Ordered shoes from Flipkart,Shopping
Purchased jeans,Shopping
Amazon order delivered,Shopping
Bought handbag,Shopping
New dress purchase,Shopping
Bought laptop bag,Shopping
Electric appliance purchase,Shopping
Ordered mobile accessories,Shopping
Home decor items,Shopping
Kitchenware purchase,Shopping
Bought bedsheet online,Shopping
Furniture shopping,Shopping
Bought sunglasses,Shopping
Clothes shopping at mall,Shopping
Ordered books from Amazon,Shopping
Grocery shopping at supermarket,Food
Weekend brunch,Food
Dinner at restaurant,Food
Coffee at cafe,Food
Bought vegetables from market,Food
Street food,Food
Ordered food online,Food
Swiggy order,Food
Zomato order,Food
Pizza delivery,Food
Burger meal,Food
Sushi at restaurant,Food
Ice cream purchase,Food
Chai from tea stall,Food
Sandwich from cafe,Food
Milk and dairy products,Food
Rice and lentils purchase,Food
Fruits from market,Food
Snacks from store,Food
Biriyani from restaurant,Food
Uber trip home,Transport
Ola cab,Transport
Auto rickshaw,Transport
Metro card top up,Transport
Bus ticket,Transport
Petrol for bike,Transport
Car fuel refill,Transport
Toll charge on highway,Transport
Parking fee at mall,Transport
Vehicle repair,Transport
Bike servicing,Transport
Train ticket purchase,Transport
Local bus pass,Transport
Rapido ride,Transport
Ferry ticket,Transport
Tuition fees paid,Education
School admission fees,Education
College exam fee,Education
Bought textbooks,Education
Online course subscription,Education
Udemy course purchase,Education
Coursera monthly,Education
Library membership fee,Education
School supplies,Education
Stationery purchase,Education
Notebook purchase,Education
Educational workshop fee,Education
Bought pen and pencils,Education
Printing and xerox,Education
Doctor visit fee,Health
Hospital admission,Health
Medicine purchase,Health
Dental checkup,Health
Eye checkup fee,Health
Lab test fee,Health
Blood test,Health
X-ray charges,Health
Gym membership fee,Health
Yoga class fee,Health
Pharmacy bill,Health
Vitamins and supplements,Health
Health insurance payment,Health
Physiotherapy session,Health
Mental health consultation,Health
Movie ticket purchase,Entertainment
Concert ticket,Entertainment
Theme park entry,Entertainment
Gaming purchase,Entertainment
Sports event ticket,Entertainment
Stand-up comedy show,Entertainment
Museum entry fee,Entertainment
Board game purchase,Entertainment
Streaming service subscription,Entertainment
Video game bought,Entertainment
Live show tickets,Entertainment
Amusement park entry,Entertainment
Escape room booking,Entertainment
Bowling alley,Entertainment
Billiards,Entertainment
Miscellaneous expense,Others
Random purchase,Others
Unclassified spend,Others
Misc item bought,Others
Emergency purchase,Others
Unexpected bill,Others
Gift purchase,Others
Donation given,Others
Charity payment,Others
Pet food,Others
Veterinary bill,Others
Laundry service,Others
Dry cleaning,Others
Repair work,Others
Plumbing charges,Others
Subscription unknown,Others
Random online purchase,Others
Unknown item,Others
